id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas
cfbds-j005910-90-011401-3,CFBDS J005910.90–011401.3,30,Cetus,14.795124999999999,-1.2336944444444444,T8.5,,,,
gliese-3325,Gliese 3325,30.03,Lepus,75.83263749999999,-17.375510000000002,M3V,0.29,11.7,11.9,108.273
wise-0458-6434-a,WISE 0458+6434 A,30.1,Camelopardalis,74.72470833333334,64.5813111111111,T8.5,0.014,,0.2,108
wise-0458-6434-b,WISE 0458+6434 B,30.1,Camelopardalis,74.72470833333334,64.5813111111111,T9.5,0.014,,0.2,108
gliese-3421,Gliese 3421,30.1,Lynx,105.98719999999999,52.69772722222222,M4.5V,,13.3,13.5,110.826
2mass-1750-00,2MASS 1750-00,30.1,Serpens,,,,,,,
wise-1804-3117,WISE 1804+3117,30.2,Hercules,271.14745833333336,31.284994444444447,T9.5,,,,108
gamma-pavonis,Gamma Pavonis,30.2,Pavo,321.61085349999996,-65.36619847222222,F9VFe-1.4 CH-0.7,1.21,4.22,4.4,108.01
gliese-3135,Gliese 3135,30.25,,31.44964166666667,-30.176178333333336,M2.5+V,,12.2,12.3,106.61
kappa-ceti,Kappa¹ Ceti,30.26,Cetus,49.84040166666666,3.3701986111111113,G5Vv,,4.84,,
sdss-j1416-1348-a,SDSS J1416+1348 A,30.27,Boötes,214.10030833333334,13.807275833333334,sdL7,0.072,,,107.737
sdss-j1416-1348-b,SDSS J1416+1348 B,30.27,Boötes,214.10030833333334,13.807275833333334,T7.5p,0.072,,,107.737
66-g-centauri-b,66 G. Centauri B,30.362,Centaurus,176.63620783333334,-40.49655688888889,M4V,0.889,15,5,107.302
66-g-centauri-a,66 G. Centauri A,30.4,Centaurus,176.62946887500001,-40.50035719444445,G2V,0.889,4.88,5,107.302
2mass-j00113182-5908400,2MASS J0011+5908,30.37,Cassiopeia,2.8747541666666665,59.139226666666666,M6V,,15.7,15.8,107.387
gliese-1123,Gliese 1123,30.51,Chamaeleon,139.28559166666668,-77.82674694444444,M4.5V,0.103,13.1,13.2,105.034
gliese-190,Gliese 190,30.52,Libra,77.14840000000001,-18.178273055555557,M3.5V,,10.3,10.5,108.325
gliese-226,Gliese 226,30.6,Camelopardalis,92.58433333333335,82.10081638888889,M2.5V,,,,105.69
gliese-3306,Gliese 3306,30.69,Eridanus,69.44863333333333,-8.826516111111111,DQ8,,14.1,14.2,106.339
gliese-367,Gliese 367,30.719,Vela,146.12431987499997,-45.77650766666667,M1.0V,0.455,10,10.1,106.173
gliese-357,Gliese 357,30.776,Hydra,144.00682175,-21.660799333333333,M2.5V,0.362,10.91,11,105.979
2mass-j11592743-5247188,2MASS J11592743-5247188,30.9,Centaurus,,,M9V,,,,
2mass-0034-0523,2MASS 0034+0523,30.9,Pisces,,,T6.5,,,,
gliese-694,Gliese 694,30.92,Ursa Major,265.98327916666665,43.375930277777776,M2V,,10.5,10.6,104.915
gliese-176,Gliese 176,30.937,Taurus,70.73239583333334,18.958165555555556,M2.5V,0.5,9.95,10.1,105.427
gliese-3512,Gliese 3512,30.976,Ursa Major,130.3338694166667,59.497345583333335,dM5.5,0.117,15.05,0.1,105.294
gliese-1065,Gliese 1065,30.98,Ursa Major,57.682575,-6.100991111111111,M3V,,12.8,12.9,100.73
cwisep-j1446-2317,CWISEP J1446−2317,31,Libra,221.53095833333336,-23.284536111111112,Y1,,,,
gliese-1227,Gliese 1227,31.06,Draco,275.6038541666667,62.04499388888889,M4.0V,,,,119.752
gliese-3380,Gliese 3380,31.075,Auriga,90.62212916666667,49.86182111111111,M5V,0.141,14.6,14.8,104.959
289-g-hydrae-b,289 G. Hydrae B,31.164,Hydra,173.62286016666667,-32.83133966666667,DC8,0.87,5.97 + 15,6.1,104.613
289-g-hydrae-a,289 G. Hydrae A,31.177,Hydra,173.62286016666667,-32.83133966666667,K0V,0.87,6,6.1,104.613
2mass-j11553952-3727350,2MASS J11553952-3727350,31.2,Centaurus,178.915,-37.46337805555556,L2e,0.061,,,84.73
61-ursae-majoris,61 Ursae Majoris,31.24,Ursa Major,175.26256641666666,34.201634000000006,G8V,0.85,5.35,5.4,104.425
gliese-1253,Gliese 1253,31.229,Cygnus,306.52209220833333,58.57296677777778,dM5.0,0.167,14.2,14.3,104.441
gliese-358,Gliese 358,31.36,Hydra,144.940125,-41.06597,M3V,,10.7,10.8,104.096
wisea-j1141-3326,WISEA J1141−3326,31.4,Hydra,175.48945833333335,-33.44293611111111,Y0,,,,
pm-j00156-4735,PM J00156+4735,31.51,,3.912170833333333,47.58934194444445,MV,,11,10.7,86.993
lhs-6167,LHS 6167,31.57,,138.90178749999998,-10.596391666666667,M4.5V,0.13,13.8,14.5,134.9
wise-j140533-32-835030-5,WISE J140533.32+835030.5,31.6,,,,,,,,
gliese-479,Gliese 479,31.61,,189.46012916666666,-52.00134638888889,M3V(e),0.43,10.7,10.8,105.347
au-microscopii,AU Microscopii,31.683,Microscopium,311.28971875,-31.340899416666666,M1Ve,0.5,8.73,8.7,102.943
wise-j2030-0749,WISE J2030+0749,31.7,,307.676375,7.826605555555555,T1.5,,,,
gliese-1138,Gliese 1138,31.7,,162.43631666666667,35.54286944444444,M5V,,,,102.752
gliese-436,Gliese 436,31.882,Leo,175.54622225,26.706569666666667,M2.5V,0.41,10.67,10.7,102.301
lp655-48,LP 655-48,31.96,,70.0984875,-5.501688611111111,M7.5Ve,,17.8,17.9,102.594
wise-0811-8051,WISE 0811-8051,32,,,,T9.5,,,,
l-88-59,L 88-59,32.04,,25.75030416666667,-67.31295805555555,DA8.1,0.58,13.9,14,102.908
gliese-3253,Gliese 3253 A,32.11,,58.17600833333333,17.014956666666667,M5V,0.167,,,103.501
gliese-638,Gliese 638,32.114,Hercules,251.27646058333335,33.50922605555556,K7.5Ve,,8.11,8.2,101.561
gliese-49,Gliese 49,32.158,Cassiopeia,15.66195025,62.34504897222222,M1.5V,,,,
12-ophiuchi,12 Ophiuchi,32.27,Ophiuchus,249.08937370833334,-2.324586944444444,K1V,0.91,5.77,5.8,101.072
gliese-3988,Gliese 3988,32.3,,255.8504166666667,51.40906416666667,M5V,0.184,,,100.927
hd232979,HD 232979,32.32,,69.4228125,52.89150305555555,M0.5V,,8.648,8.7,100.916
gliese-3119,Gliese 3119,32.36,,27.76952916666667,-6.119239166666667,M4.5Ve,,14.5,14.4,94.711
gliese-680-a,Gliese 680 A,32.37,,263.80724583333335,-48.678777499999995,M3V,,10.1,10.2,103.308
ce-bootis-a,CE Bootis A,32.466,Boötes,223.62181750000002,16.101055000000002,M3V,0.35,10.2,10.2,100.524
ce-bootis-ba,CE Bootis Ba,32.466,Boötes,223.62181750000002,16.101055000000002,M8.5,0.35,10.2,10.2,100.524
ce-bootis-bb,CE Bootis Bb,32.466,Boötes,223.62181750000002,16.101055000000002,M8.5,0.35,10.2,10.2,100.524
wise-1614-1739,WISE 1614+1739,32.6,,243.67117500000003,17.66124472222222,T9,,19.08,,98.2
ulas-1335-11,ULAS 1335+11,32.6,Virgo,203.97270833333334,11.501444444444445,T9,,,,
gliese-239,Gliese 239,32.608,Gemini,99.29499500000001,17.56481477777778,M0.0V,0.439,9.77 ± 0.11,9.6,100.023
gliese-1125,Gliese 1125,32.61,,142.68327083333332,0.3202233333333333,M3.5Ve,,11.7,11.7,100.903
gliese-3976,Gliese 3976,32.71,,252.74161666666663,22.453351944444442,M5V,,14.3,14.2,95.52
gliese-3182,Gliese 3182,32.73,,42.148579166666664,54.387861111111114,DAZ9.5,,,,92.036
gliese-75,Gliese 75,32.75,Cassiopeia,26.936810166666664,63.85250305555556,K0V,0.825,5.63,5.6,99.59
gliese-22-a,Gliese 22 A,32.8,Cassiopeia,8.122639999999999,67.23566916666667,M2.5Ve,0.378,10.29,12.2,101.086
gliese-22-b,Gliese 22 B,32.8,Cassiopeia,8.122639999999999,67.23566916666667,M3V,0.378,12.19,12.2,101.086
gliese-22-c,Gliese 22 C,32.8,Cassiopeia,8.122639999999999,67.23566916666667,M,0.378,13.2,12.2,101.086
hr-5256,HR 5256,32.835,Ursa Major,209.38358,61.492860944444445,K3V,0.8,6.52,,99.332
wise-1150-6302,WISE 1150+6302,32.9,,177.5579166666667,63.044713888888886,T8,,17.72,,100
wise-1318-1758,WISE 1318-1758,32.9,,199.64158333333336,-17.974027777777778,T9,,,,100
gliese-6781-a,Gliese 678.1 A,33.12,,262.59485,5.54741,M1.0Ve,,9.4,9.4,98.844
gliese-453,Gliese 453,33.13,,179.490125,-27.707055555555556,K4+V,,7,6.9,98.298
alpha-mensae-a,Alpha Mensae A,33.31,Mensa,92.56030254166667,-74.75304402777778,G7V,1.103,5.09,5,97.916
alpha-mensae-b,Alpha Mensae B,33.31,Mensa,92.56030254166667,-74.75304402777778,M3.5-6.5 V,1.103,5.1,5,97.916
gliese-3391,Gliese 339.1,33.52,,138.9755875,53.41831055555555,DC7P,,,,97.345
gliese-1277,Gliese 1277,33.59,,344.0981875,-60.06785416666667,M4.5,,14,13.9,96.336
scr-j0533-4257,SCR J0533-4257,33.75,,83.36672499999999,-42.955533055555556,M4.5V,,,,95.932
2mass-0559-1404,2MASS 0559-1404,33.76,,,,T4.5,,,,
pollux,Pollux,33.78,Gemini,116.32895779166667,28.02619888888889,K0III,1.91,1.14,1.1,96.54
32-g-eridani,32 G. Eridani,33.792,Eridanus,43.133867458333334,-12.769713361111112,K1V,0.88,6.04,6,96.52
2mass-j2139-0220,2MASS J2139+0220,33.8,Aquarius,324.86153749999994,2.339638888888889,T1.5,,,,
gliese649,Gliese 649,33.892,Hercules,254.53687499999998,25.744158333333335,M1.0V,0.51,9.655,9.6,96.233
wise-1322-2340,WISE 1322-2340,33.9,,200.64012499999998,-23.671308333333336,T8,,17.01,,100
2mass-j1237-6526,2MASS J1237+6526,34,Draco,189.413318,65.437447,T6.5V,0.035,16.15,,96.07
gliese-595,Gliese 595,34.01,,235.51777916666666,-19.476366666666664,M3,0.29,11.9,11.9,103.18
gliese-127-1,Gliese 127.1,34.08,,,,DA3.0,,,,
gliese-3049,Gliese 3049,34.25,,10.855470833333333,-41.29537361111111,M3,0.21,11.5,11.5,97.661
2mass-1047-2124,2MASS 1047+2124,34.4,Leo,161.974394,21.406519,T6.5,,,,
scr-j0821-6703,SCR J0821-6703,34.44,,125.35674166666666,-67.05262833333333,DA9.8,,15.3,15.2,93.672
2mass-j0050-3322,2MASS J0050-3322,34.5,,12.5831125,-33.377853055555555,T7,,,,94.6
